MetaCodigo,FechaMes,VendedorCodigo,MetaVentas
META00001,2025-01-01,VEN001,9000000
META00002,2025-01-01,VEN002,8000000
META00003,2025-01-01,VEN003,9000000
META00004,2025-01-01,VEN004,23500000
META00005,2025-01-01,VEN005,8500000
META00006,2025-01-01,VEN006,15500000
META00007,2025-01-01,VEN007,9000000
META00008,2025-01-01,VEN008,18000000
META00009,2025-01-01,VEN009,19000000
META00010,2025-01-01,VEN010,11500000
META00011,2025-01-01,VEN011,23000000
META00012,2025-01-01,VEN012,11500000
META00013,2025-01-01,VEN013,23500000
META00014,2025-01-01,VEN014,12000000
META00015,2025-01-01,VEN015,18000000
META00016,2025-01-01,VEN016,8000000
META00017,2025-01-01,VEN017,12000000
META00018,2025-01-01,VEN018,17500000
META00019,2025-01-01,VEN019,13500000
META00020,2025-01-01,VEN020,24000000
META00021,2025-02-01,VEN001,25500000
META00022,2025-02-01,VEN002,19000000
META00023,2025-02-01,VEN003,16000000
META00024,2025-02-01,VEN004,18500000
META00025,2025-02-01,VEN005,11000000
META00026,2025-02-01,VEN006,20000000
META00027,2025-02-01,VEN007,9500000
META00028,2025-02-01,VEN008,11500000
META00029,2025-02-01,VEN009,14000000
META00030,2025-02-01,VEN010,14000000
META00031,2025-02-01,VEN011,20500000
META00032,2025-02-01,VEN012,22500000
META00033,2025-02-01,VEN013,19500000
META00034,2025-02-01,VEN014,23500000
META00035,2025-02-01,VEN015,8000000
META00036,2025-02-01,VEN016,24000000
META00037,2025-02-01,VEN017,24500000
META00038,2025-02-01,VEN018,20000000
META00039,2025-02-01,VEN019,17500000
META00040,2025-02-01,VEN020,17500000
META00041,2025-03-01,VEN001,24000000
META00042,2025-03-01,VEN002,20500000
META00043,2025-03-01,VEN003,12000000
META00044,2025-03-01,VEN004,22000000
META00045,2025-03-01,VEN005,15000000
META00046,2025-03-01,VEN006,20500000
META00047,2025-03-01,VEN007,10000000
META00048,2025-03-01,VEN008,11500000
META00049,2025-03-01,VEN009,18000000
META00050,2025-03-01,VEN010,23000000
META00051,2025-03-01,VEN011,19500000
META00052,2025-03-01,VEN012,8000000
META00053,2025-03-01,VEN013,13500000
META00054,2025-03-01,VEN014,9000000
META00055,2025-03-01,VEN015,23500000
META00056,2025-03-01,VEN016,25500000
META00057,2025-03-01,VEN017,24500000
META00058,2025-03-01,VEN018,10500000
META00059,2025-03-01,VEN019,10000000
META00060,2025-03-01,VEN020,11000000
META00061,2025-04-01,VEN001,23000000
META00062,2025-04-01,VEN002,24500000
META00063,2025-04-01,VEN003,20000000
META00064,2025-04-01,VEN004,10500000
META00065,2025-04-01,VEN005,11500000
META00066,2025-04-01,VEN006,11000000
META00067,2025-04-01,VEN007,10500000
META00068,2025-04-01,VEN008,10000000
META00069,2025-04-01,VEN009,10000000
META00070,2025-04-01,VEN010,8500000
META00071,2025-04-01,VEN011,15000000
META00072,2025-04-01,VEN012,18500000
META00073,2025-04-01,VEN013,24000000
META00074,2025-04-01,VEN014,22000000
META00075,2025-04-01,VEN015,19500000
META00076,2025-04-01,VEN016,21000000
META00077,2025-04-01,VEN017,20500000
META00078,2025-04-01,VEN018,17500000
META00079,2025-04-01,VEN019,18000000
META00080,2025-04-01,VEN020,14500000
META00081,2025-05-01,VEN001,21000000
META00082,2025-05-01,VEN002,10000000
META00083,2025-05-01,VEN003,22500000
META00084,2025-05-01,VEN004,22500000
META00085,2025-05-01,VEN005,19000000
META00086,2025-05-01,VEN006,20500000
META00087,2025-05-01,VEN007,10000000
META00088,2025-05-01,VEN008,24500000
META00089,2025-05-01,VEN009,13500000
META00090,2025-05-01,VEN010,25500000
META00091,2025-05-01,VEN011,22000000
META00092,2025-05-01,VEN012,15500000
META00093,2025-05-01,VEN013,12500000
META00094,2025-05-01,VEN014,16500000
META00095,2025-05-01,VEN015,23000000
META00096,2025-05-01,VEN016,20000000
META00097,2025-05-01,VEN017,14000000
META00098,2025-05-01,VEN018,21000000
META00099,2025-05-01,VEN019,21500000
META00100,2025-05-01,VEN020,21000000
META00101,2025-06-01,VEN001,19000000
META00102,2025-06-01,VEN002,19000000
META00103,2025-06-01,VEN003,25500000
META00104,2025-06-01,VEN004,21500000
META00105,2025-06-01,VEN005,20500000
META00106,2025-06-01,VEN006,15000000
