VentaCodigo,FechaVenta,ClienteCodigo,ProductoCodigo,VendedorCodigo,SucursalCodigo,Canal,Cantidad,PrecioUnitario,CostoUnitario
VTA000001,2026-05-06,CLI0012,PROD0033,VEN004,SUC007,Web,4,233200,173500
VTA000002,2025-11-30,CLI0043,PROD0021,VEN013,SUC010,Presencial,4,837700,667300
VTA000003,2026-05-14,CLI0034,PROD0031,VEN007,SUC004,Presencial,9,270400,198500
VTA000004,2025-04-16,CLI0096,PROD0003,VEN003,SUC003,Web,10,84100,61500
VTA000005,2025-01-24,CLI0081,PROD0003,VEN007,SUC008,Web,11,92900,62100
VTA000006,2025-04-21,CLI0061,PROD0010,VEN001,SUC008,Web,6,318400,233300
VTA000007,2026-04-30,CLI0023,PROD0009,VEN017,SUC006,Telefónico,8,799300,465500
VTA000008,2025-07-03,CLI0027,PROD0003,VEN020,SUC001,Presencial,7,80300,62100
VTA000009,2026-03-06,CLI0022,PROD0050,VEN002,SUC004,Presencial,12,285000,210300
VTA000010,2025-04-01,CLI0070,PROD0010,VEN016,SUC004,Presencial,11,318300,226300
VTA000011,2025-05-15,CLI0059,PROD0035,VEN012,SUC006,Telefónico,5,680600,440300
VTA000012,2025-05-21,CLI0075,PROD0008,VEN008,SUC008,Web,10,635600,388800
VTA000013,2026-05-29,CLI0049,PROD0015,VEN014,SUC010,Presencial,2,187500,109400
VTA000014,2025-07-19,CLI0098,PROD0032,VEN008,SUC005,Presencial,8,308800,179900
VTA000015,2025-01-05,CLI0031,PROD0027,VEN010,SUC007,Telefónico,4,107900,75000
VTA000016,2025-02-04,CLI0083,PROD0037,VEN012,SUC010,Web,11,229200,165700
VTA000017,2025-07-06,CLI0085,PROD0001,VEN010,SUC005,Presencial,3,389200,254800
VTA000018,2025-04-08,CLI0033,PROD0027,VEN005,SUC007,Presencial,10,98700,78200
VTA000019,2025-02-11,CLI0096,PROD0047,VEN004,SUC004,Web,1,414900,362300
VTA000020,2026-02-17,CLI0032,PROD0044,VEN014,SUC010,Telefónico,3,835600,607500
VTA000021,2026-07-19,CLI0038,PROD0024,VEN018,SUC001,Presencial,11,672400,577700
VTA000022,2026-06-06,CLI0071,PROD0003,VEN011,SUC007,Web,6,83000,61000
VTA000023,2025-10-31,CLI0053,PROD0010,VEN019,SUC001,Presencial,6,331700,231200
VTA000024,2026-06-16,CLI0050,PROD0012,VEN012,SUC004,Telefónico,3,395300,285300
VTA000025,2026-05-26,CLI0013,PROD0016,VEN011,SUC007,Telefónico,1,137200,109300
VTA000026,2025-10-17,CLI0082,PROD0013,VEN014,SUC009,Web,9,472200,400900
VTA000027,2025-12-12,CLI0051,PROD0018,VEN012,SUC007,Presencial,12,188600,146200
VTA000028,2025-07-13,CLI0053,PROD0030,VEN016,SUC007,Telefónico,11,569400,453200
VTA000029,2025-07-01,CLI0074,PROD0049,VEN015,SUC009,Web,5,347800,252400
VTA000030,2025-12-13,CLI0078,PROD0018,VEN011,SUC010,Web,3,188500,151400
VTA000031,2026-07-12,CLI0057,PROD0008,VEN010,SUC002,Web,5,621400,387000
VTA000032,2026-05-26,CLI0058,PROD0029,VEN005,SUC004,Presencial,6,685400,421300
VTA000033,2025-11-04,CLI0054,PROD0016,VEN004,SUC004,Telefónico,1,132900,110000
VTA000034,2025-05-09,CLI0046,PROD0042,VEN005,SUC007,Web,4,375400,283500
VTA000035,2025-01-17,CLI0078,PROD0021,VEN019,SUC009,Web,7,853300,662100
VTA000036,2025-04-01,CLI0073,PROD0030,VEN018,SUC006,Web,9,626000,441900
VTA000037,2026-03-09,CLI0047,PROD0044,VEN013,SUC003,Presencial,12,805700,580800
VTA000038,2026-03-03,CLI0048,PROD0007,VEN016,SUC001,Web,1,614400,459400
VTA000039,2025-03-06,CLI0003,PROD0045,VEN002,SUC009,Web,1,122400,94600
VTA000040,2025-08-29,CLI0096,PROD0042,VEN015,SUC010,Telefónico,8,392300,285500
VTA000041,2026-07-07,CLI0065,PROD0001,VEN010,SUC004,Presencial,2,384600,252700
VTA000042,2025-02-12,CLI0004,PROD0035,VEN002,SUC006,Web,8,756800,446900
VTA000043,2026-03-07,CLI0030,PROD0005,VEN017,SUC002,Web,4,477900,306800
VTA000044,2025-10-21,CLI0011,PROD0032,VEN012,SUC001,Web,3,303900,181300
VTA000045,2026-06-06,CLI0045,PROD0044,VEN020,SUC005,Presencial,12,731800,595000
VTA000046,2025-03-07,CLI0018,PROD0036,VEN018,SUC003,Web,8,493600,315500
VTA000047,2025-08-13,CLI0044,PROD0030,VEN019,SUC005,Presencial,1,626200,440500
VTA000048,2025-10-28,CLI0029,PROD0043,VEN015,SUC008,Web,4,457100,356300
VTA000049,2025-07-14,CLI0087,PROD0029,VEN016,SUC007,Presencial,6,628300,427800
VTA000050,2025-12-29,CLI0054,PROD0019,VEN007,SUC002,Web,3,743400,471700
VTA000051,2026-03-16,CLI0080,PROD0050,VEN014,SUC006,Presencial,4,255300,206100
VTA000052,2025-11-10,CLI0032,PROD0016,VEN009,SUC006,Presencial,7,152200,112200
VTA000053,2025-08-24,CLI0098,PROD0028,VEN019,SUC007,Web,12,440800,270200
VTA000054,2025-08-29,CLI0078,PROD0002,VEN016,SUC006,Presencial,7,417600,235500
VTA000055,2026-05-22,CLI0097,PROD0034,VEN013,SUC006,Presencial,1,515100,418200
VTA000056,2025-07-12,CLI0009,PROD0020,VEN009,SUC010,Web,7,477300,414200
VTA000057,2026-01-24,CLI0068,PROD0012,VEN011,SUC010,Presencial,2,450000,284800
VTA000058,2025-08-08,CLI0006,PROD0034,VEN010,SUC005,Web,9,540200,415400
VTA000059,2026-05-29,CLI0055,PROD0005,VEN014,SUC010,Presencial,10,412400,305200
VTA000060,2025-08-17,CLI0037,PROD0008,VEN004,SUC001,Web,9,642000,384900
VTA000061,2025-02-05,CLI0062,PROD0033,VEN001,SUC003,Presencial,7,259700,171100
VTA000062,2026-04-20,CLI0096,PROD0048,VEN006,SUC008,Presencial,8,19200,12900
VTA000063,2026-07-17,CLI0083,PROD0023,VEN005,SUC005,Presencial,6,567000,395500
VTA000064,2025-03-30,CLI0065,PROD0002,VEN016,SUC009,Web,11,432800,237100
VTA000065,2025-05-26,CLI0060,PROD0026,VEN010,SUC004,Web,10,544800,379200
VTA000066,2025-12-28,CLI0044,PROD0006,VEN007,SUC007,Web,12,260600,184600
VTA000067,2025-04-04,CLI0024,PROD0046,VEN006,SUC007,Web,1,567900,359600
VTA000068,2026-07-06,CLI0085,PROD0017,VEN003,SUC005,Web,8,207100,145300
VTA000069,2026-02-01,CLI0042,PROD0023,VEN012,SUC005,Web,5,654200,396100
VTA000070,2025-05-24,CLI0095,PROD0048,VEN010,SUC005,Telefónico,9,19400,13300
VTA000071,2025-05-08,CLI0097,PROD0016,VEN008,SUC008,Web,1,150500,109400
VTA000072,2026-05-31,CLI0041,PROD0039,VEN003,SUC001,Web,5,340600,216100
VTA000073,2026-06-17,CLI0025,PROD0040,VEN012,SUC010,Presencial,7,226600,150800
VTA000074,2026-06-04,CLI0008,PROD0014,VEN010,SUC004,Web,10,60600,43100
VTA000075,2025-02-25,CLI0002,PROD0045,VEN018,SUC002,Web,8,115500,91700
VTA000076,2026-05-08,CLI0083,PROD0032,VEN015,SUC009,Web,2,300300,185800
VTA000077,2026-06-20,CLI0028,PROD0014,VEN011,SUC001,Telefónico,10,59000,42800
VTA000078,2026-07-06,CLI0077,PROD0023,VEN011,SUC006,Presencial,10,568600,408600
VTA000079,2025-08-25,CLI0074,PROD0024,VEN017,SUC006,Telefónico,2,699700,575000
VTA000080,2025-03-08,CLI0094,PROD0035,VEN005,SUC001,Presencial,11,746400,439500
VTA000081,2025-04-11,CLI0009,PROD0023,VEN013,SUC007,Presencial,12,633600,396000
VTA000082,2025-12-03,CLI0030,PROD0034,VEN013,SUC002,Presencial,9,595400,412300
VTA000083,2026-02-19,CLI0058,PROD0012,VEN013,SUC003,Presencial,1,444300,280500
VTA000084,2025-09-27,CLI0053,PROD0011,VEN007,SUC005,Web,1,839200,698300
VTA000085,2025-10-31,CLI0064,PROD0004,VEN015,SUC007,Web,2,404300,296000
VTA000086,2025-01-21,CLI0076,PROD0020,VEN009,SUC005,Presencial,6,506700,415400
